0:0:0:0:0:0:0:1 - - [21/May/2020:15:46:43 +0900] "GET /ch07/medias/movie.mp4 HTTP/1.1" 206 46997
0:0:0:0:0:0:0:1 - - [21/May/2020:15:46:43 +0900] "GET /ch07/medias/movie.mp4 HTTP/1.1" 206 1652629
0:0:0:0:0:0:0:1 - - [21/May/2020:15:46:45 +0900] "GET /ch07/clothing.html HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [21/May/2020:15:46:46 +0900] "GET /ch07/clothing.html HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [21/May/2020:15:46:46 +0900] "GET /ch07/medias/old_pop.mp3 HTTP/1.1" 206 4286222
0:0:0:0:0:0:0:1 - - [21/May/2020:15:46:47 +0900] "GET /ch07/medias/old_pop.mp3 HTTP/1.1" 206 4286222
0:0:0:0:0:0:0:1 - - [21/May/2020:15:46:47 +0900] "GET /ch07/clothing.html HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [21/May/2020:15:51:43 +0900] "GET /ch07/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:51:43 +0900] "GET /ch07/clothing.html HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [21/May/2020:15:51:43 +0900] "GET /ch07/css/mystyle.css HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [21/May/2020:15:51:43 +0900] "GET /ch07/images/shop.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:51:49 +0900] "GET /ch07/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:51:49 +0900] "GET /ch07/clothing.html HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [21/May/2020:15:51:49 +0900] "GET /ch07/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:51:49 +0900] "GET /ch07/images/shop.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:53:10 +0900] "GET /ch07/home.html HTTP/1.1" 200 1937
0:0:0:0:0:0:0:1 - - [21/May/2020:15:53:10 +0900] "GET /ch07/clothing.html HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [21/May/2020:15:53:10 +0900] "GET /ch07/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:53:10 +0900] "GET /ch07/images/shop.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:53:13 +0900] "GET /ch07/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:53:13 +0900] "GET /ch07/computer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:53:14 +0900] "GET /ch07/index.html HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [21/May/2020:15:53:25 +0900] "GET /ch07/home.html HTTP/1.1" 304 -
